Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
0,flat,parsvnath green ville,sector 48,1.6,8377.0,3.0,3.0,3,13.0,Old Property,1700.0,0.0,0.0,0.0,0.0,1.0,2.0,119.0,"28.4177° N, 77.0359° E",28.4177,77.0359
1,house,independent,sector 43,8.25,30556.0,5.0,6.0,3+,3.0,Moderately Old,2700.0,1.0,1.0,1.0,1.0,0.0,2.0,64.0,"28.4629° N, 77.0772° E",28.4629,77.0772
3,flat,deepak minda,manesar,1.2,4528.0,3.0,3.0,3+,6.0,Moderately Old,2944.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,"28.3515° N, 76.9428° E",28.3515,76.9428
4,flat,emaar imperial gardens,sector 102,1.98,9900.0,3.0,3.0,3+,9.0,Relatively New,2222.0,0.0,1.0,0.0,0.0,0.0,2.0,72.0,"28.4750° N, 76.9715° E",28.475,76.9715
6,flat,sare crescent parc,sector 92,0.49,4910.0,2.0,2.0,2,2.0,Relatively New,1109.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,"28.4079° N, 76.9153° E",28.4079,76.9153
7,flat,experion the heartsong,sector 108,0.9,7015.0,2.0,3.0,3,7.0,Relatively New,1161.0,0.0,1.0,0.0,0.0,1.0,0.0,72.0,"28.5134° N, 76.9830° E",28.5134,76.983
8,flat,ireo skyon,sector 60,2.82,12818.0,3.0,3.0,3,2.0,Relatively New,2400.0,0.0,1.0,0.0,0.0,0.0,2.0,174.0,"28.4003° N, 77.0975° E",28.4003,77.0975
9,house,independent,sector 7,8.0,22222.0,4.0,5.0,3+,1.0,Old Property,3600.0,1.0,1.0,0.0,1.0,0.0,0.0,31.0,"28.4644° N, 77.0143° E",28.4644,77.0143
10,house,independent,sector 41,11.0,33951.0,4.0,4.0,2,3.0,New Property,3240.0,1.0,1.0,0.0,1.0,0.0,2.0,35.0,"28.4557° N, 77.0632° E",28.4557,77.0632
11,house,independent,sector 14,6.4,20317.0,6.0,6.0,3+,3.0,Old Property,3150.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,"28.4711° N, 77.0454° E",28.4711,77.0454
12,flat,godrej summit,sector 104,1.16,6388.0,3.0,4.0,3+,8.0,Relatively New,2018.0,0.0,1.0,0.0,0.0,0.0,2.0,96.0,"28.4788° N, 76.9960° E",28.4788,76.996
13,house,emaar mgf marbella,sector 66,9.0,21251.0,4.0,4.0,3+,2.0,Relatively New,5200.0,0.0,1.0,1.0,1.0,0.0,2.0,114.0,"28.3925° N, 77.0541° E",28.3925,77.0541
15,flat,conscient habitat,sector 99a,0.35,6422.0,2.0,2.0,1,3.0,Relatively New,606.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,"28.4561° N, 76.9542° E",28.4561,76.9542
16,house,eldeco mansionz,sector 48,4.95,20599.0,7.0,7.0,3+,2.0,Old Property,2403.0,1.0,1.0,1.0,1.0,0.0,2.0,145.0,"28.4177° N, 77.0359° E",28.4177,77.0359
17,flat,the close north,sector 50,2.75,12500.0,3.0,3.0,3,3.0,Moderately Old,2400.0,0.0,1.0,0.0,0.0,0.0,0.0,110.0,"28.4178° N, 77.0628° E",28.4178,77.0628
18,flat,la vida by tata housing,sector 113,2.35,10600.0,3.0,3.0,3,11.0,New Property,2210.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0,"28.5287° N, 77.0233° E",28.5287,77.0233
19,flat,experion windchants,sector 112,5.31,11205.0,4.0,6.0,3+,15.0,Relatively New,3573.33,0.0,1.0,0.0,1.0,0.0,0.0,72.0,"28.5189° N, 77.0183° E",28.5189,77.0183
20,flat,pioneer urban presidia,sector 62,6.5,14987.0,4.0,4.0,3+,3.0,Moderately Old,3925.0,1.0,0.0,0.0,0.0,0.0,0.0,86.0,"28.4139° N, 77.0886° E",28.4139,77.0886
22,flat,dlf regal gardens,sector 90,1.75,7901.0,4.0,4.0,3+,3.0,Relatively New,2005.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,"28.4085° N, 76.9369° E",28.4085,76.9369
23,flat,tulip violet,sector 69,1.7,8458.0,4.0,4.0,2,10.0,Relatively New,1804.0,1.0,1.0,1.0,1.0,0.0,0.0,174.0,"28.3966° N, 77.0341° E",28.3966,77.0341
24,flat,emaar mgf emerald floors premier,sector 65,2.7,16364.0,3.0,3.0,3,5.0,Relatively New,1650.0,0.0,1.0,1.0,0.0,0.0,2.0,108.0,"28.4030° N, 77.0690° E",28.403,77.069
25,house,vipul tatvam villa,sector 48,22.0,26667.0,5.0,6.0,3,3.0,Moderately Old,8250.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,"28.4177° N, 77.0359° E",28.4177,77.0359
26,flat,unitech fresco,sector 50,1.88,10479.0,3.0,3.0,3+,14.0,Moderately Old,1790.0,0.0,0.0,0.0,0.0,1.0,2.0,174.0,"28.4178° N, 77.0628° E",28.4178,77.0628
27,flat,la vida by tata housing,sector 113,3.05,15561.0,3.0,4.0,3,3.0,Relatively New,2150.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0,"28.5287° N, 77.0233° E",28.5287,77.0233
28,flat,godrej air,sector 85,1.05,10606.0,2.0,2.0,1,15.0,Under Construction,97.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,"28.4042° N, 76.9513° E",28.4042,76.9513
29,flat,signature global city 63a,sector 63a,1.65,15264.0,2.0,2.0,2,1.0,Under Construction,978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3923° N, 77.0888° E",28.3923,77.0888
30,flat,dlf garden city floors,sector 92,1.7,8586.0,3.0,4.0,2,1.0,Under Construction,1475.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,"28.4079° N, 76.9153° E",28.4079,76.9153
31,flat,signature global city,sector 37d,1.1,8494.0,3.0,3.0,2,2.0,Under Construction,1439.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,"28.4478° N, 76.9703° E",28.4478,76.9703
32,flat,raheja vedaanta,sector 108,0.8,4080.0,3.0,3.0,3,9.0,Relatively New,1663.0,0.0,0.0,0.0,1.0,0.0,0.0,174.0,"28.5134° N, 76.9830° E",28.5134,76.983
33,flat,pyramid urban homes 2,sector 86,0.41,8283.0,2.0,2.0,1,7.0,New Property,557.0,1.0,1.0,0.0,1.0,1.0,0.0,49.0,"28.3986° N, 76.9384° E",28.3986,76.9384
34,flat,uphaar homes,sector 105,0.45,4737.0,3.0,2.0,1,1.0,Relatively New,1056.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,"28.4952° N, 77.0114° E",28.4952,77.0114
